Sequence_ID	biosample_accession
ASV1105	SAMN30974307,SAMN30974306,SAMN30974273,SAMN30974255,SAMN30974254,SAMN30974305,SAMN30974291,SAMN30974274,SAMN30974272,SAMN30974270,SAMN30974292
ASV1106	SAMN30974255,SAMN30974254,SAMN30974253,SAMN30974252,SAMN30974273,SAMN30974251,SAMN30974271,SAMN30974272,SAMN30974270,SAMN30974292,SAMN30974274,SAMN30974291,SAMN30974290
ASV1108	SAMN30974253,SAMN30974255,SAMN30974251,SAMN30974272,SAMN30974252,SAMN30974274,SAMN30974254,SAMN30974271,SAMN30974307,SAMN30974273,SAMN30974306,SAMN30974292,SAMN30974270,SAMN30974290,SAMN30974291
ASV1109	SAMN30974274,SAMN30974255,SAMN30974273,SAMN30974254,SAMN30974307,SAMN30974306,SAMN30974292,SAMN30974291
ASV111	SAMN30974253,SAMN30974254,SAMN30974273,SAMN30974252,SAMN30974270,SAMN30974251,SAMN30974271,SAMN30974255,SAMN30974272,SAMN30974292,SAMN30974305,SAMN30974274,SAMN30974290,SAMN30974291
ASV1111	SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974251,SAMN30974252,SAMN30974290,SAMN30974253,SAMN30974305
ASV1112	SAMN30974252,SAMN30974253,SAMN30974251,SAMN30974254,SAMN30974306,SAMN30974271,SAMN30974291,SAMN30974305,SAMN30974273,SAMN30974255,SAMN30974290,SAMN30974272,SAMN30974274,SAMN30974307,SAMN30974292
ASV1116	SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974270,SAMN30974272,SAMN30974255,SAMN30974271,SAMN30974291,SAMN30974290,SAMN30974305
ASV1117	SAMN30974270,SAMN30974252,SAMN30974272,SAMN30974251,SAMN30974271,SAMN30974305,SAMN30974253,SAMN30974273,SAMN30974290,SAMN30974306,SAMN30974291
ASV1118	SAMN30974252,SAMN30974251,SAMN30974305,SAMN30974253,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974290,SAMN30974254
ASV1119	SAMN30974254,SAMN30974252,SAMN30974273,SAMN30974307,SAMN30974272,SAMN30974253,SAMN30974292,SAMN30974305,SAMN30974291,SAMN30974270,SAMN30974251,SAMN30974255,SAMN30974306,SAMN30974271,SAMN30974274,SAMN30974290
ASV112	SAMN30974270,SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974271,SAMN30974272,SAMN30974290,SAMN30974273,SAMN30974291,SAMN30974305,SAMN30974254,SAMN30974255,SAMN30974292,SAMN30974306
ASV1120	SAMN30974274,SAMN30974307,SAMN30974306,SAMN30974255,SAMN30974291,SAMN30974273,SAMN30974254,SAMN30974292,SAMN30974253,SAMN30974272,SAMN30974305,SAMN30974252,SAMN30974290
ASV1121	SAMN30974255,SAMN30974252,SAMN30974251,SAMN30974253,SAMN30974254,SAMN30974274
ASV1122	SAMN30974253,SAMN30974252,SAMN30974251,SAMN30974271,SAMN30974270,SAMN30974272,SAMN30974254,SAMN30974273,SAMN30974255,SAMN30974274,SAMN30974291,SAMN30974290,SAMN30974292
ASV1123	SAMN30974255,SAMN30974273,SAMN30974292,SAMN30974253,SAMN30974307,SAMN30974274,SAMN30974251,SAMN30974270,SAMN30974291,SAMN30974271,SAMN30974254,SAMN30974305,SAMN30974306
ASV1125	SAMN30974253,SAMN30974251,SAMN30974252,SAMN30974270,SAMN30974271,SAMN30974272,SAMN30974290,SAMN30974291
ASV1126	SAMN30974254,SAMN30974306,SAMN30974251,SAMN30974253,SAMN30974252,SAMN30974307,SAMN30974273,SAMN30974255,SAMN30974270,SAMN30974274,SAMN30974291,SAMN30974271,SAMN30974292,SAMN30974305,SAMN30974290
ASV1127	SAMN30974255,SAMN30974272,SAMN30974270,SAMN30974274,SAMN30974273,SAMN30974252,SAMN30974271,SAMN30974254,SAMN30974292,SAMN30974291,SAMN30974307,SAMN30974253,SAMN30974290,SAMN30974251,SAMN30974306,SAMN30974305
ASV1128	SAMN30974251,SAMN30974255,SAMN30974253,SAMN30974252,SAMN30974274,SAMN30974254,SAMN30974272,SAMN30974273,SAMN30974271
ASV1129	SAMN30974307,SAMN30974306,SAMN30974291,SAMN30974254,SAMN30974273,SAMN30974292,SAMN30974274
ASV113	SAMN30974254,SAMN30974253,SAMN30974272,SAMN30974270,SAMN30974255,SAMN30974271,SAMN30974251,SAMN30974273,SAMN30974292,SAMN30974274,SAMN30974306,SAMN30974291,SAMN30974305
ASV1130	SAMN30974251,SAMN30974253,SAMN30974252,SAMN30974255,SAMN30974272,SAMN30974271,SAMN30974270,SAMN30974292
ASV1131	SAMN30974255,SAMN30974254,SAMN30974274,SAMN30974272,SAMN30974271,SAMN30974306,SAMN30974270,SAMN30974291,SAMN30974273,SAMN30974292,SAMN30974307,SAMN30974251,SAMN30974252,SAMN30974305
ASV1132	SAMN30974255,SAMN30974273,SAMN30974274,SAMN30974306,SAMN30974254,SAMN30974292,SAMN30974307,SAMN30974291
ASV1133	SAMN30974251,SAMN30974252,SAMN30974255,SAMN30974253,SAMN30974272
ASV1134	SAMN30974255,SAMN30974253,SAMN30974254,SAMN30974251,SAMN30974252,SAMN30974270,SAMN30974274,SAMN30974307,SAMN30974273,SAMN30974272,SAMN30974306,SAMN30974271,SAMN30974292
ASV1136	SAMN30974270,SAMN30974271,SAMN30974251,SAMN30974253,SAMN30974252,SAMN30974272,SAMN30974273,SAMN30974290,SAMN30974254,SAMN30974291,SAMN30974306,SAMN30974305
ASV1137	SAMN30974307,SAMN30974292,SAMN30974255,SAMN30974274,SAMN30974254,SAMN30974273,SAMN30974291
ASV1139	SAMN30974305,SAMN30974306,SAMN30974307,SAMN30974271,SAMN30974251,SAMN30974291,SAMN30974270,SAMN30974254,SAMN30974292,SAMN30974255,SAMN30974273,SAMN30974252,SAMN30974253,SAMN30974290
ASV114	SAMN30974252,SAMN30974254,SAMN30974273,SAMN30974291,SAMN30974253,SAMN30974306,SAMN30974251,SAMN30974271,SAMN30974274,SAMN30974272,SAMN30974270,SAMN30974292,SAMN30974305,SAMN30974290
ASV1140	SAMN30974273,SAMN30974254,SAMN30974253,SAMN30974272,SAMN30974251,SAMN30974252,SAMN30974306,SAMN30974270,SAMN30974271,SAMN30974291,SAMN30974274,SAMN30974305,SAMN30974290,SAMN30974307,SAMN30974292
ASV1141	SAMN30974253,SAMN30974306,SAMN30974254,SAMN30974251,SAMN30974307,SAMN30974255,SAMN30974273,SAMN30974272,SAMN30974270,SAMN30974252,SAMN30974292,SAMN30974271,SAMN30974291,SAMN30974305
