Sequence_ID	biosample_accession
ASV1303	SAMN30974307
ASV1304	SAMN30974307
ASV1305	SAMN30974305
ASV1306	SAMN30974306
ASV1307	SAMN30974307
ASV131	SAMN30974273
ASV1310	SAMN30974254
ASV1311	SAMN30974253
ASV1312	SAMN30974255
ASV1313	SAMN30974253
ASV1315	SAMN30974255
ASV1316	SAMN30974254
ASV1318	SAMN30974253
ASV1319	SAMN30974270
ASV132	SAMN30974254
ASV1320	SAMN30974274
ASV1321	SAMN30974252
ASV1322	SAMN30974270
ASV1323	SAMN30974273
ASV1324	SAMN30974253
ASV1325	SAMN30974253
ASV1326	SAMN30974255
ASV1328	SAMN30974274
ASV1330	SAMN30974251
ASV1331	SAMN30974307
ASV1332	SAMN30974306
ASV1333	SAMN30974272
ASV1334	SAMN30974255
ASV1336	SAMN30974306
ASV1338	SAMN30974251
ASV1339	SAMN30974251
ASV134	SAMN30974272
ASV1340	SAMN30974253
ASV1342	SAMN30974274
ASV1343	SAMN30974255
ASV1344	SAMN30974251
ASV1345	SAMN30974252
ASV1347	SAMN30974252
ASV1348	SAMN30974254
ASV1349	SAMN30974252
ASV135	SAMN30974253
ASV1351	SAMN30974254
ASV1352	SAMN30974254
ASV1353	SAMN30974255
ASV1354	SAMN30974307
ASV1355	SAMN30974305
ASV1356	SAMN30974307
ASV1357	SAMN30974307
ASV1358	SAMN30974272
ASV1359	SAMN30974255
ASV136	SAMN30974307
ASV1362	SAMN30974253
ASV1363	SAMN30974251
ASV1364	SAMN30974254
ASV1365	SAMN30974273
ASV1366	SAMN30974255
ASV1367	SAMN30974307
ASV1368	SAMN30974252
ASV1369	SAMN30974273
ASV1371	SAMN30974307
ASV1374	SAMN30974292
ASV1375	SAMN30974306
ASV1376	SAMN30974251
ASV138	SAMN30974253
ASV1380	SAMN30974253
ASV1381	SAMN30974255
ASV1382	SAMN30974253
ASV1383	SAMN30974254
ASV1385	SAMN30974255
ASV1386	SAMN30974253
ASV1387	SAMN30974253
ASV1388	SAMN30974253
ASV139	SAMN30974253
ASV1391	SAMN30974255
ASV1392	SAMN30974255
ASV1393	SAMN30974254
ASV1394	SAMN30974255
ASV1397	SAMN30974307
ASV1399	SAMN30974254
ASV14	SAMN30974253
ASV140	SAMN30974253
ASV1400	SAMN30974255
ASV1401	SAMN30974292
ASV1402	SAMN30974306
ASV1403	SAMN30974272
ASV1404	SAMN30974255
ASV1405	SAMN30974255
ASV1406	SAMN30974272
ASV1408	SAMN30974274
ASV141	SAMN30974273
ASV1410	SAMN30974306
ASV1411	SAMN30974255
ASV1412	SAMN30974255
ASV1414	SAMN30974255
ASV1417	SAMN30974253
ASV1418	SAMN30974251
ASV1419	SAMN30974251
ASV1420	SAMN30974255
ASV1422	SAMN30974306
ASV1426	SAMN30974252
ASV1428	SAMN30974254
ASV1429	SAMN30974252
ASV143	SAMN30974252
ASV1430	SAMN30974251
ASV1431	SAMN30974307
ASV1432	SAMN30974251
ASV1434	SAMN30974274
ASV1435	SAMN30974252
ASV1436	SAMN30974254
ASV1438	SAMN30974307
ASV144	SAMN30974307
ASV1440	SAMN30974270
ASV1441	SAMN30974255
ASV1443	SAMN30974255
ASV1445	SAMN30974307
ASV1447	SAMN30974253
ASV1448	SAMN30974254
ASV1449	SAMN30974273
ASV145	SAMN30974252
ASV1450	SAMN30974251
ASV1451	SAMN30974254
ASV1454	SAMN30974253
ASV1456	SAMN30974307
ASV1457	SAMN30974255
ASV146	SAMN30974272
ASV1460	SAMN30974251
ASV1461	SAMN30974253
ASV1462	SAMN30974253
ASV1463	SAMN30974255
ASV1464	SAMN30974306
ASV1465	SAMN30974307
ASV1466	SAMN30974306
ASV1468	SAMN30974255
ASV1469	SAMN30974274
ASV147	SAMN30974253
ASV1472	SAMN30974305
ASV1473	SAMN30974253
ASV1474	SAMN30974253
ASV1475	SAMN30974253
ASV1479	SAMN30974253
ASV148	SAMN30974272
ASV1481	SAMN30974253
ASV1482	SAMN30974255
ASV1483	SAMN30974252
ASV1484	SAMN30974252
ASV1486	SAMN30974307
ASV1487	SAMN30974254
ASV1488	SAMN30974255
ASV1489	SAMN30974307
ASV149	SAMN30974307
ASV1490	SAMN30974306
ASV1491	SAMN30974251
ASV1492	SAMN30974307
ASV1494	SAMN30974254
ASV1495	SAMN30974307
ASV1496	SAMN30974307
ASV1497	SAMN30974253
ASV1498	SAMN30974254
ASV1499	SAMN30974271
ASV15	SAMN30974253
ASV150	SAMN30974307
ASV1500	SAMN30974273
ASV1501	SAMN30974273
ASV1503	SAMN30974251
ASV1504	SAMN30974251
ASV1505	SAMN30974253
ASV1506	SAMN30974307
ASV1507	SAMN30974307
ASV1508	SAMN30974307
ASV1509	SAMN30974307
ASV151	SAMN30974253
ASV1510	SAMN30974251
ASV1512	SAMN30974253
ASV1514	SAMN30974251
ASV1515	SAMN30974292
ASV1517	SAMN30974292
ASV1518	SAMN30974272
ASV152	SAMN30974254
ASV1521	SAMN30974255
ASV1524	SAMN30974255
ASV1525	SAMN30974254
ASV1526	SAMN30974253
ASV1527	SAMN30974254
ASV1529	SAMN30974253
ASV153	SAMN30974273
ASV1530	SAMN30974254
ASV1531	SAMN30974306
ASV1532	SAMN30974307
